Category;Title;Content
Araç Takip;Turkcell Bir Daha Kopilot Mu? Kesinlikle Hayır?;Yaklaşık 1,5 yıl önce sözleşme imzaladık. Paralarını düzenli alıyorlar. Daha hiç hizmet alamadık. Yaşattıkları stres cabası. Ben böyle kötü bir şirket görmedim. Sonunda dün montaj yapıldı. Bu defa da araçların ikisi görünmüyor. Bir daha Kopilot mu? Kesinlikle hayır. Tüm tanıdıklarıma kesinlikle yakınından bile geçmeyin diye tavsiyede bulunuyorum. Onların bizi arayıp var mı bir sorun diye sormaları gerekirken bizim kendilerine ulaşmamız mümkün değil. Daha neler neler.
Araç Takip;Turkcell Kopilot Filom Sisteme Girememe Ve Sorunun Çözülmemesi;"Bir buçuk ay önce 10 adet Turkcell Kopilot Filom takip cihazı aldım ve araçlarıma taktırdım. Bir buçuk aydır müşteri temsilcisi, teknik ekip vs. aramadığım kimse kalmadı. Çözüyoruz, kaydınızı aldık. Bugün dönüş yapılacak gibi onlarca görüşme yaptım, hiçbir çözüm yok; sisteme giriş yapamıyorum. Türkiye'nin en büyük şirketlerinden biri olan Turkcell maalesef Türkiye'nin en sorunlu şirketi haline gelmiş. Yazık, ne iptal ediyorlar ne de kullandırabiliyorlar. Aylık olarak ücretlerini tıkır tıkır alıyorlar. En kısa sürede iptal ettireceğim; tek bir gün bile kullanamadım. Sorunum çözülse bile yarın yine bir sorun yaşarsam yine çözümsüzlükle karşı karşıya geleceğim. Turkcell Kopilot Filom pişmanlıktır. Mehmetdedo İnş. Oto San. ve Tic. Ltd. Şti. 0541*****93"
Araç Takip;Turkcell Geç Teslimat Ve İletişim Eksikliği;Merhaba Turkcell'den telefon sipariş vermiştim. Dağıtma pazartesi çıkmış ve çarşamba günü oturduğum bölgenin şubesine gelmiştir. Lakin perşembe günü dağıtıma çıkmış olan kargom ne yazık ki teslim edilemedi diyor evde birisi olmasına Raman bir de beni arayanlar olmadı
Araç Takip;Turkcell Trabzon Kurumsal Çözüm Merkezine Ve Personeline 20 Gündür Ulaşamıyoruz;Trabzon Kurumsal Çözüm Merkezi lakayıt, saygısız, çözüm üretemeyen, kapasitesi olmayan personellerine ve 08 08 ile biten ofis telefonuna da ulaşmak mümkün değil. 40'tan fazla kurumsal hattım var ve 20 gündür defalarca aramamıza rağmen hiçbir türlü ne gelen var ne de arayan. Hatları soğutuculu frigo araçlarımızda kullanıyoruz. Dereceleri takip etmek için ama personellerinizin lakayıtlığı yüzünden haklı fesih oluşturacağım, asla önermeyeceğim. Marka diye saygı duyuyorduk ama artık duymuyoruz. Koca koca Turkcell ne hallere, kimlere kalmış yazık.
Araç Takip;Turkcell Yanıltıcı Araç Takip Cihazı Satışı Ve Ödeme Sorunu;Turkcell kurumsal müşterisiyim. Turizm şirketimiz var ve araçlarımız için takip cihazı bakıyoruz. Turkcell saha temsilcisi arkadaşımız B****, araç takip cihazlarını kendilerinden almam durumunda hem indirim olacağını, 10 adet cihaz alımında 12*249 TL fiyatlandırma yapılacağını, bunun yanı sıra kendisinin durumdan prim alacağı ve şirket puanımın yükseleceğini belirtti. Ben de alımı yaptım, sonra karşıma 450 TL civarı bir ödeme çıktı. Durumu kendilerine izah ettim. Olayın olduğu ay içerisinde B**** Bey'in beyin kanaması geçirdiği söylendi. Bölge müdürleri M**** Bey, bana kredi girip zararımın karşılanacağını belirtti. Oyalandım ve oyalanmaya devam ediyorum. Hakkımı hukuki yollarda arayacağım. Turkcell kurumsaldan kaçının.
Araç Takip;Turkcell Mailime Fatura Gönderimi Yapılmıyor Yaptık Diye Mesaj Yollanıyor;Merhabalar, Turkcell'den almış olduğum kulaklık iki kez arızalandı. İkinci kez servise göndermek için finans bölümünden fatura talebi oluşturduk. Üç defadır mail bildirip işleme aldırıyorum. 'Faturayı yolladık' diye mesaj atıyorlar, fakat mailimde fatura yok. Bu şekilde mağdur ediliyorum.
Araç Takip;Turkcell Yardım İstiyorum İlgilenir Misiniz Teşekkürler;"Bakırköy 15. İcra Dairesi 2018/18022 İcra Dosyası 08.10.2018 11:22:30 Kapalı (Takipsizlik) (02/11/2020) (02.11.2020 15:41:20)
5303456875 20/12/2017 13/07/2018 5303586875 20/12/2017 13/07/2018
Turkcell'e olan borcumu ödedim. Uygulama üzerinden e-Devlet'te yasal takip 0 gözüküyor. UYAP'ta dosya kapalı ve takipsizlikteydi. Lütfen kapatılması için avukatlarınıza ulaşacağım ama ulaşamıyorum. Yardımcı olabilir misiniz?"
Araç Takip;Turkcell Kurumsal Şikayeti;Turkcell kurumsal hatlarda hediye adı altında verilen her şey bağlayıcıdır. Kağıthane'de bulunan firmamı ziyaret edip kurumsal hatlarımızın devamı için bize ücretsiz olduğu bildirilerek araç takip için hat verilmiştir. Bizim hali hazırda araç takip sistemimiz bulunduğu için istemediğimiz halde bize bu şekilde yapılırsa kurumsal hatlarımızın indirimli olacağını ve takip cihazlarına Herhangi bir ödeme yapılmayacağı söylendi. 2 yıldır takip cihazlarına ödeme yapılmaktadır. Kullanmadığımız halde. Kurumsal hatlarımızı kabul ederken de tek isteğimiz tüm hepsinin taahhüdünün aynı tarihte bitmesiydi. Bunu bile doğru yapmamışlar. Para ödeyerek kişilerin üzerine vermek zorunda kaldık. Turkcell Kurumsal için çalışan saha çalışanları size satış yapmak için yalan söylüyor ve ödemek zorunda bırakılıyorsunuz. Bize bunu yaşatan personelin adı A** E*** K****'dır. Şikayet oluşturduğumuzda kendisinin başka firmalarla yaşadığı ( burada anlatıp kendisini rencide etmek istemiyorum) sorunlardan dolayı iş akdinin sonlandırıldığı bilgisi verilmiştir. Metrocity AVM'de bulunan kurumsal Turkcell (syl grup) kendisiyle karşılaştık nasıl oluyorsa. Yeni hat çıkarmak için orada bulunuyordum ve kendisi bana orada işlem yapamayacağımızı başka Turkcell şubesine gitmem gerektiğini söyledi. Daha sonra şubemin orası olduğunu öğrendi bir personelden. 5 dakika müsaade istedi. Başka biri bizimle ilgilenirken kendisi çıkıp gitti. Yaptığı saygısızlıktan ve söylediği yalanlardan ötürü bu konunun peşinde olduğumu buradan syl grup Turkcell'e bildiririm. Telefonla görüştüğüm farklı bir personel bana elimizde bir mail ya da yazılı beyan olmadığı için hiçbir şeyi kanıtlayamayacağımı nazik bir dille bildirdi. Kullanmadığımı ve farklı bir takip sistemi kullandığımı kanıtlayabilirim. Şirketimin kamera kayıtlarını da inceleyip konuşmaları bulacağımı da bildiririm. Kendisinin işine son verilmesi gibi bir isteğim olmadı olamaz. Bu durumu kabul edip hatalarını ve maddi kaybımı telafi edecekler. Paranın miktarı önemli değil. Sürecin uzunluğu ve zaman kaybım önemlidir.
Araç Takip;Turkcell Ve Tesan Hayal Kırıklığı;Turkcell'den aldığım taks marka kulaklık kırıldığı için garantiye yolladım 2 ay geçmesine rağmen ne bir haber var ne ortada kulaklık var. Turkcell'e gidiyorum hiçbir net bir şey söylemiyorlar. Alırken bir şey olursa garantiyle uğraşmazsınız biz hallederiz dedikleri için almıştım ama umurlarında bile değil. 2 aydır bir kulaklık için kaç defa gittim bilmiyorum. Teknik servisini aradığımda böyle bir kulaklık gelmedi bize diyorlar. Turkcell de biz kulaklığı gönderdik bekliyoruz diyorlar
Araç Takip;Turkcell Mobiliz Araç Takip;"Merhaba,
Turkcell firmasından vergi dairesi numarası 523 *******98 olan mükellefi müşterisi olduğumuz 07.06.2023 tarihinde almış olduğumuz mobil izleme cihazlarının montajları hâlâ yapılmadı. Bu konuyla ilgili Turkcell müşteri hizmetlerini her aradığımızda farklı sebeplerle karşılaşıyoruz. Artık bu konunun bir an önce çözüme kavuşturulmasını veya cihazların iadesini ve ödenen miktarın geri yatırılmasını talep ediyorum. Kullanmadığımız cihazlar için her ay düzenli olarak ödeme yapıyoruz. Turkcell'i her aradığımızda, karşımızdaki kişiler bizi anlamıyor ve talep oluşturduklarını, bize döneceklerini söyleyip dönmemeleri sorun oluşturuyor. Alınan cihazlardan birinin numarasını paylaşıyorum: 5339***120. Konu hakkında desteklerinizi rica ederim."
